id	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq77	seq77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq78	seq78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq79	seq79	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq80	seq80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq81	seq81	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	NA
seq82	seq82	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	wadsworthensis
seq83	seq83	Eukaryota	NA	NA	NA	NA	NA	NA
seq84	seq84	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
seq85	seq85	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	bicirculans
seq86	seq86	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	NA
seq87	seq87	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
seq88	seq88	Eukaryota	NA	NA	NA	NA	NA	NA
seq89	seq89	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-010	NA
seq90	seq90	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	NA
seq91	seq91	Eukaryota	NA	NA	NA	NA	NA	NA
seq92	seq92	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	ramosum
seq93	seq93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	NA
seq94	seq94	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq95	seq95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq96	seq96	Eukaryota	NA	NA	NA	NA	NA	NA
seq97	seq97	Eukaryota	NA	NA	NA	NA	NA	NA
seq98	seq98	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq99	seq99	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	NA
seq100	seq100	Eukaryota	NA	NA	NA	NA	NA	NA
seq101	seq101	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	wadsworthia
seq102	seq102	Eukaryota	NA	NA	NA	NA	NA	NA
seq103	seq103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	pasteri
seq104	seq104	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq105	seq105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq106	seq106	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
seq107	seq107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq108	seq108	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
seq109	seq109	Eukaryota	NA	NA	NA	NA	NA	NA
seq110	seq110	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	NA
seq111	seq111	Eukaryota	NA	NA	NA	NA	NA	NA
seq112	seq112	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	NA
seq113	seq113	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	NA
seq114	seq114	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-004	NA
seq115	seq115	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq116	seq116	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
seq117	seq117	Eukaryota	NA	NA	NA	NA	NA	NA
seq118	seq118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	melaninogenica
seq119	seq119	Eukaryota	NA	NA	NA	NA	NA	NA
seq120	seq120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq121	seq121	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	NA
seq122	seq122	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
seq123	seq123	Eukaryota	NA	NA	NA	NA	NA	NA
seq124	seq124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	NA
seq125	seq125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	NA
seq126	seq126	Eukaryota	NA	NA	NA	NA	NA	NA
seq127	seq127	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	NA
seq128	seq128	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq129	seq129	Eukaryota	NA	NA	NA	NA	NA	NA
seq130	seq130	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Brachyspiraceae	Brachyspira	aalborgi
seq131	seq131	Eukaryota	NA	NA	NA	NA	NA	NA
seq132	seq132	Eukaryota	NA	NA	NA	NA	NA	NA
seq133	seq133	Eukaryota	NA	NA	NA	NA	NA	NA
seq134	seq134	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	NA
seq135	seq135	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	dentocariosa
seq136	seq136	Eukaryota	NA	NA	NA	NA	NA	NA
seq137	seq137	Eukaryota	NA	NA	NA	NA	NA	NA
seq138	seq138	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	plebeius
seq139	seq139	Eukaryota	NA	NA	NA	NA	NA	NA
seq140	seq140	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_S24-7_group	NA	NA
seq141	seq141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	pectinoschiza
seq142	seq142	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	intestinalis
seq143	seq143	Eukaryota	NA	NA	NA	NA	NA	NA
seq144	seq144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
seq145	seq145	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
seq146	seq146	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	NA
seq147	seq147	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq148	seq148	Eukaryota	NA	NA	NA	NA	NA	NA
seq149	seq149	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq150	seq150	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq151	seq151	Eukaryota	NA	NA	NA	NA	NA	NA
seq152	seq152	Eukaryota	NA	NA	NA	NA	NA	NA
seq153	seq153	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	invisus
seq154	seq154	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq155	seq155	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	finegoldii
seq156	seq156	Eukaryota	NA	NA	NA	NA	NA	NA
seq157	seq157	Eukaryota	NA	NA	NA	NA	NA	NA
seq158	seq158	Eukaryota	NA	NA	NA	NA	NA	NA
seq159	seq159	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq160	seq160	Eukaryota	NA	NA	NA	NA	NA	NA
seq161	seq161	Eukaryota	NA	NA	NA	NA	NA	NA
seq162	seq162	Eukaryota	NA	NA	NA	NA	NA	NA
